run,jd_tdb,body_id,body_name,x,y,z,vx,vy,vz
tight,2463757.250000000,1,Mercury Barycenter,-3.80556522598724856e-01,-1.96852806550362996e-01,-6.59816346477797022e-02,7.72196826310310360e-03,-2.04728037858972270e-02,-1.17366496585011165e-02
tight,2463757.250000000,2,Venus Barycenter,4.38898941088969652e-01,-5.16491978917679617e-01,-2.60323619800708839e-01,1.58879964083782355e-02,1.15487597677154108e-02,4.19185172001401273e-03
tight,2463757.250000000,3,Earth-Moon Barycenter,-2.19552016682647705e-01,-9.11311876163783618e-01,-3.94860983922340036e-01,1.65335434123832885e-02,-3.40209488033373607e-03,-1.47476543945722263e-03
tight,2463757.250000000,4,Mars Barycenter,-1.28341960394846244e-01,-1.32993484537022555e+00,-6.06505532734713526e-01,1.44686122304964037e-02,1.59152269983197335e-04,-3.16880382555639851e-04
tight,2463757.250000000,5,Jupiter Barycenter,4.11650073946993089e+00,-2.61858613161881060e+00,-1.22255496843101730e+00,4.24054654785236632e-03,6.04206042264523319e-03,2.48652600459319797e-03
tight,2463757.250000000,6,Saturn Barycenter,-1.48047424349684609e+00,8.19955671978024014e+00,3.45058756199661953e+00,-5.80441583783647928e-03,-9.48484039214340306e-04,-1.41752424346007179e-04
tight,2463757.250000000,7,Uranus Barycenter,-3.98974957784820394e-01,1.73870454337175637e+01,7.62064566491577988e+00,-3.96119014231624978e-03,-2.64914106072523098e-04,-6.00338929099593699e-05
tight,2463757.250000000,8,Neptune Barycenter,2.84524520136436507e+01,8.54571249540246747e+00,2.78943782587794553e+00,-9.62075049418820009e-04,2.78045069406055584e-03,1.16200480115487888e-03
tight,2463757.250000000,9,Pluto Barycenter,2.61127925445491513e+01,-2.21955830552266313e+01,-1.47942617770023297e+01,2.34190019281279660e-03,1.68999919264804723e-03,-1.78207596745870786e-04
tight,2463757.250000000,10,Sun,-4.95661548275063563e-03,-1.03897300976743025e-03,-2.93550210683911675e-04,-2.26204676212992947e-06,-5.64401038372576806e-06,-2.39456395689696345e-06
tight,2464122.500000000,1,Mercury Barycenter,-1.79040551606337278e-01,-3.90990406267769486e-01,-1.90357623154622180e-01,2.04328218440786025e-02,-7.35925335916411041e-03,-6.04781570310434103e-03
tight,2464122.500000000,2,Venus Barycenter,-7.18584324808890340e-01,5.67002442370153556e-02,7.08635220864921450e-02,-2.46727001815935437e-03,-1.84659790646426181e-02,-8.15344020083000852e-03
